,INDEX,ID,Nickname,commentCount,playCount,shareCount,url,neg,neu,pos,containsMisinformation,Desc,Unigram_Score,Bigram_Score
11,12,7.02e+18,Oli Pym,3520,943800,9358,https://www.tiktok.com/@oli.pym/video/7016950521844075777,0.167,0.833,0.0,0,jake paul vaccine common theyre prick antivaxxer antivaxx antivaccine vaccine differentpeople nz newzealand,0.25,0.0
12,13,7.02e+18,News.com.au,5252,1100000,2542,https://www.tiktok.com/@news.com.au/video/7018341935349763329,0.117,0.789,0.094,0,looks like guys antivax attack local cafe backfired fyp sydney freedomday nsw australia smallbusiness tempe cafedzajko antivaxxer unvaccinated antivax vaccinepassport proofofvaccination benfordham gb,0.13636363636363635,0.0
13,14,6.94e+18,IanBeale,4281,718400,2121,https://www.tiktok.com/@ianbealestash84/video/6942601628147125509,0.0,1.0,0.0,0,covid antivaxxer ianbeale keepingitreal eastenders eastendersclips british fyp tiktoktraditions test ready chic j air max way,0.25,0.0
14,15,6.91e+18,Craig - The Belize Resort Guy,1892,839400,6806,https://www.tiktok.com/@craigsmallwood/video/6908492041286651142,0.0,1.0,0.0,1,vaccine vaccineswork antivaxxer billgates albertacovid calgary edmonton canada covid microchipimplant pfizer covidcanada gettheshot,0.15384615384615385,0.0
15,16,7.01e+18,The Short Timer,4408,750800,6919,https://www.tiktok.com/@k.a.sims/video/7005696908509351174,0.42,0.58,0.0,1,stitch aotnerd darwin darwinism antivaxxer weak covidiots covid stupidity evolution,0.0,0.0
16,17,7.01e+18,Alicia Vitkuske,3366,1500000,1302,https://www.tiktok.com/@exhausted.mom/video/7013359399867534597,0.327,0.673,0.0,0,pandemic baby covid covid violetsky vaccines antivaxxer vaccine pandemic baby newborn science jab,0.5,0.0
17,18,6.99e+18,Exhumed_By_Raccoons,1748,576000,3401,https://www.tiktok.com/@exhumed_by_raccoons/video/6990627843147451653,0.0,1.0,0.0,1,greenscreenvideo conspiracy conspiracytheories antivaxxer covid fyp conservative republican,0.125,0.0
18,19,7e+18,ustilldontknowme218,2371,493300,942,https://www.tiktok.com/@ustilldontknowme218/video/7000160780079353094,0.0,1.0,0.0,1,trumper redneck antivaxxer wisconsincheck republican conservative buckfiden patriot trumptrain wethepeople trump patriotsoftiktok,0.08333333333333333,0.0
19,20,6.95e+18,Clarissa Claudina,1811,670400,4817,https://www.tiktok.com/@holarosalita/video/6951947151136148742,0.0,0.62,0.38,1,thanks im set fyp foryou antivaxxer covid xyzbca freethinker beyonc,0.0,0.0
20,21,7.01e+18,Nurse Tough Love,4074,461400,481,https://www.tiktok.com/@nurse_toughlove/video/7010453404241775877,0.769,0.231,0.0,0,wanna oppressed ffs antivaxxer sad fypage,0.0,0.0
21,22,7e+18,John-Michael Thomas,5828,430700,3956,https://www.tiktok.com/@jamikeymike/video/6998275894573944070,0.0,1.0,0.0,1,gayrights aidsepidemic hiv covidvaccine herdimmunity antivaxxer provaccine masksrequired,0.125,0.0
22,23,6.95e+18,Andrew Rudick,640,669000,1465,https://www.tiktok.com/@andrewrudickcomedy/video/6945202128587689221,0.0,0.809,0.191,0,example big wind pushing liberal agenda antivaxxer vaccinecoronavirus democrat liberal comedian dumbparents,0.2727272727272727,0.0
23,24,6.64e+18,Yeet my meat,244,558700,6874,https://www.tiktok.com/@yeetme23/video/6642959905185598726,0.0,1.0,0.0,1,old switcharoo foryou whereyoubeen antivaxxer whereyouvebeen,0.0,0.0
24,25,7.01e+18,hotvickkrishna,876,203600,2503,https://www.tiktok.com/@hotvickkrishna/video/7010096344475962629,0.146,0.696,0.158,0,anticup antivaxxer logic fyp antivaxx comedy skit ghost vaccine antivaxxer covid cup balls,0.08333333333333333,0.0
25,26,6.81e+18,Stupid.ratgirl,88,220400,46,https://www.tiktok.com/@fishtacoe/video/6810035152874507525,0.175,0.515,0.309,0,weird experiences living sweet antivaxx antivaxxer antivaxxmom,0.14285714285714285,0.0
26,27,7.02e+18,Natalie 2.0,1315,242800,2027,https://www.tiktok.com/@natalie.themisfit.mama/video/7021145965549604102,0.441,0.412,0.147,0,stitch saharroo trigger antivaxxer nurses mlm dedication,0.14285714285714285,0.0
27,28,6.96e+18,WILL,6949,233600,503,https://www.tiktok.com/@soyboyfck/video/6955913527991225606,0.395,0.395,0.211,0,youre piece shit feel like antivaxxer spoiled bitches braindead sheep,0.1,0.0
28,29,7.01e+18,Nurse Tough Love,1966,219300,300,https://www.tiktok.com/@nurse_toughlove/video/7009685926850972933,0.0,1.0,0.0,0,second hand embarrassment real smoker rn antivaxxer oppressed fypage,0.0,0.0
29,30,6.95e+18,That Gay Social Worker,329,206400,1474,https://www.tiktok.com/@thatgaysocialworker/video/6951812193805405446,0.0,1.0,0.0,0,greenscreensticker covidlockdown antivaxxer canada,0.25,0.0
30,31,6.96e+18,🔥🔥✨Haus of Petty✨🔥🔥,0,262000,592,https://www.tiktok.com/@musclesandnursing/video/6959485213084798213,0.255,0.745,0.0,0,hausofpetty vaccine antivaxxer,0.3333333333333333,0.0
31,32,7.03e+18,Ndkeller1,995,3400000,584,https://www.tiktok.com/@ndkeller1/video/7025797296218541317,0.0,1.0,0.0,0,sharing afraid life support pressureulcer nurse covid vaccinated unvaccinated antivaxxer toddler,0.36363636363636365,0.0
32,33,6.97e+18,Glenn,2839,394700,6933,https://www.tiktok.com/@glennalberta/video/6971549308474674437,0.0,1.0,0.0,0,stitch redekunst maga crunchymom vaccineswork antivaxxer covid,0.0,0.0
33,34,6.97e+18,_toddy,2913,547900,3635,https://www.tiktok.com/@__toddy/video/6967649621942324481,0.0,1.0,0.0,1,melbourne lockdown nuffie antivaxxer fyp foryoupage,0.16666666666666666,0.0
34,35,6.95e+18,Chelsea Hart,750,193500,434,https://www.tiktok.com/@chelseahartisme/video/6945174072334585094,0.0,0.69,0.31,0,reply taeadams antivaxxer vaccines science vaccine history learnontiktok facts,0.3333333333333333,0.0
35,36,6.97e+18,Jason Taylor,934,162300,773,https://www.tiktok.com/@jason_taylor69/video/6966441774621428998,0.0,1.0,0.0,0,reply logan nolan team u tryout antivaxxer vaccination themesongthrowback,0.2222222222222222,0.0
36,37,6.91e+18,brandini,343,189000,407,https://www.tiktok.com/@badmonbrandini7/video/6907685570378550534,0.398,0.602,0.0,0,covid vaccine antivaxxer dumb mask fyp,0.3333333333333333,0.0
37,38,6.98e+18,J E S S 🏃🏻‍♀️R U N N E R,507,235500,149,https://www.tiktok.com/@crazymotherrunner/video/6978481680738749702,0.0,1.0,0.0,0,chefs musclesandnursing followhim hausofpetty antivaxxer icallbs simlish sessions complete look colored hair loveyou,0.0,0.0
38,39,7e+18,user5784799146595,7532,1000000,1593,https://www.tiktok.com/@jiaen1996/video/7003508320560581893,0.0,0.769,0.231,0,justin trudeau surprise campaign visit sudbury targeted antivaxxer august,0.0,0.125
39,40,6.99e+18,Peter Scattini,796,342500,899,https://www.tiktok.com/@tillary.clinton/video/6994490933567835398,0.355,0.645,0.0,1,stop vaccine antivaxxer onlyinamerica waltermasterson,0.4,0.0
40,41,6.99e+18,I’M CLAUSTROPHOBIC DARREN!!,430,279000,1675,https://www.tiktok.com/@rolodex_of_sass/video/6990357186585038082,0.0,0.621,0.379,0,notme antivaxxer covid lockdown astrazeneca pfizer melbourne sydney lockdown iso covid vacine gay lesbian gemmacollins fyp,0.07142857142857142,0.0
41,42,7e+18,Shellbell54,4705,232400,1894,https://www.tiktok.com/@nurseshell/video/6998323138576616710,0.0,1.0,0.0,0,greenscreen dont care health theycovid antivaxxer covid healthcare foryoupage fyp,0.1,0.0
42,43,6.97e+18,_toddy,1303,258300,1891,https://www.tiktok.com/@__toddy/video/6970269218717617410,0.226,0.774,0.0,0,melbourne lockdown fyp foryoupage nuffie antivaxxer covid,0.14285714285714285,0.0
43,44,7.01e+18,wokenationtv,849,295600,6886,https://www.tiktok.com/@wokenationtv/video/7013627150309887238,0.0,1.0,0.0,1,trump davos speaking truth greatreset covid covid coronavirus vaccines antivaxxer provaxxer worldeconomicforum davosagenda,0.3333333333333333,0.0
44,45,6.96e+18,Joshua Robert,726,112200,2571,https://www.tiktok.com/@joshua.robert89/video/6962615178848374021,0.0,0.828,0.172,1,bring karens r w e graphic ponder zion bringitkaren covid covidvaccine vaccine covid antimaskers antivaxxer opinion comedy,0.125,0.0
45,46,6.87e+18,"T, MN, ARNP, CCRN-K, AGNP-C",1122,112000,451,https://www.tiktok.com/@thatsassynp/video/6868808977245867269,0.0,1.0,0.0,0,reply allivesmatter antivaxxer doesnt understand physiology dont vaccineswork vaccinate science facts,0.18181818181818182,0.0
46,47,6.97e+18,Astro5D 🛸,1966,213900,5414,https://www.tiktok.com/@astro5d/video/6974171274331409669,0.195,0.805,0.0,0,mystery school greenscreen fyp foryou x r e e astrod vaccine covid conspiracy conspiracytheory spiritual antivaxxer covid um,0.3125,0.0
47,48,6.94e+18,Emily Fields,729,193300,111,https://www.tiktok.com/@allidoismom/video/6938893810441276677,0.0,0.839,0.161,0,yeah cried lot today formerantivaxxer antivaxxer pfizervaccine,0.0,0.0
48,49,6.9e+18,Ben Freeman,232,109000,245,https://www.tiktok.com/@ben..freeman/video/6904601485837880578,0.265,0.51,0.224,1,actually saw like bro think vaccine covidvaccine holiday crafts australia antivaxxer,0.18181818181818182,0.0
49,50,7.02e+18,True Rambler,950,346000,840,https://www.tiktok.com/@truerambler/video/7019857804366318854,0.0,0.783,0.217,1,fu u foru brilliantidiots podcast andrewshultz charlamagnethagod blm africanamerican trumpsupporters trumpers vaccine antivaxxer lol,0.07142857142857142,0.0
50,51,7.02e+18,microjai,1252,98600,349,https://www.tiktok.com/@microjai/video/7024512011346267397,0.254,0.595,0.151,0,pick antivaxxer vaccine fyp,0.25,0.0
51,52,7e+18,"Dr. Siyab, MD",2522,97100,1115,https://www.tiktok.com/@drsiyabmd/video/6998539775288429830,0.375,0.625,0.0,0,anti vaxxers dangerous antivaxxer missouri springfield walmart pharmacist covidvaccine covid teamhalo,0.18181818181818182,0.0
52,53,6.93e+18,Debunktion Junction,448,99700,490,https://www.tiktok.com/@debunktionjunction/video/6925202514686119174,0.0,1.0,0.0,0,reply g dawg billgates vaccine politics maga antivaxxer explanation debunk facts money economy,0.23076923076923078,0.0
53,54,6.95e+18,Just These Please,291,117400,1730,https://www.tiktok.com/@justtheseplease/video/6951345094293261574,0.0,1.0,0.0,1,way end justtheseplease snape professorsnape vaccine antivaxxer harrypotter slytherin,0.1111111111111111,0.0
54,55,6.97e+18,"Dr. Siyab, MD",2124,199900,1440,https://www.tiktok.com/@drsiyabmd/video/6969367663474740485,0.0,1.0,0.0,0,argue antivaxxer pt covid coronavirus pandemic conspiracy antivaxxer,0.42857142857142855,0.0
55,56,7.03e+18,Jen,294,408900,760,https://www.tiktok.com/@sohltrain/video/7025679912501644549,0.492,0.508,0.0,0,going straight hedouble hockey sticks halloween costume antivaxxer mildrama foryou fyp drama,0.16666666666666666,0.0
56,57,7.01e+18,McCanimal,1162,226400,1162,https://www.tiktok.com/@mccanimal/video/7013532622404029701,0.0,1.0,0.0,1,duet bonenecklace republican antivaxxer,0.0,0.0
57,58,7.02e+18,"Dr. Siyab, MD",743,80100,995,https://www.tiktok.com/@drsiyabmd/video/7019283671853124869,0.0,0.853,0.147,0,wow covid antivaxxer reddit joke funny,0.16666666666666666,0.0
58,59,6.93e+18,Rachel Cain,288,111500,179,https://www.tiktok.com/@iblamebill/video/6930016576435522822,0.0,0.252,0.748,0,antivaccine antivaxx antivaxxer skeptic skepticthinker covid covid changeminds vaccine covidvaccine foryou foryoupage fyp cult,0.15384615384615385,0.0
59,60,6.98e+18,Dr.Kimchee,1106,108200,750,https://www.tiktok.com/@dr.kimchee/video/6975946418104175878,0.128,0.872,0.0,0,comments left unsaid hit follow getvaccinated covid antivaxxer,0.125,0.0
60,61,7.02e+18,Kassandra 🪐,454,89000,1129,https://www.tiktok.com/@k4554ndr4/video/7024548899100658949,0.0,1.0,0.0,0,like real swell guy andrewwakefield antivaxxer autismtiktoks vaccineswork,0.0,0.0
61,62,7.03e+18,Ndkeller1,2139,1300000,289,https://www.tiktok.com/@ndkeller1/video/7029006712698916101,0.0,0.737,0.263,0,afraid life support covidget vaccinated morph covid covid unvaccinated antivaxxer trumptrain nurse getvaccinated pressureulcer hairloss,0.21428571428571427,0.0
62,63,7.02e+18,"Dr. Siyab, MD",1532,94900,141,https://www.tiktok.com/@drsiyabmd/video/7022353111222111494,0.0,1.0,0.0,0,science anymore yall covid covidvaccine cdc teamhalo getvaccinated antivaxxer,0.2222222222222222,0.0
63,64,7.01e+18,David Pakman,1802,299800,278,https://www.tiktok.com/@davidpakmanshow/video/7007480517826317574,0.0,1.0,0.0,0,news politics covid covid coronavirus antimask antimaskers antimaskersbelike antivaxx antivaxxer foryoupage foryou fyp foryourpage fy,0.14285714285714285,0.0
64,65,7.01e+18,Brig,161,134700,241,https://www.tiktok.com/@scarygemini/video/7008535035976486149,0.0,1.0,0.0,0,line buddy fyp foryoupage e jeans fun womensrights antivaxxer,0.0,0.0
65,66,6.93e+18,Debunktion Junction,453,68300,716,https://www.tiktok.com/@debunktionjunction/video/6925280094521019653,0.0,1.0,0.0,0,carl sagan quote hits home covid maga biden facts science technology politics explanation vaccine antivaxxer,0.4,0.0
66,67,7e+18,TRPMsia,827,109700,202,https://www.tiktok.com/@trpmsia/video/6999970514345151771,0.0,1.0,0.0,1,newsattiktok tiktoknews malaysia tiktokmalaysia beritaditiktok beritaterkini vaccinemalaysia mco pkp antivaxxer fyp xyzbca msia tiktokers,0.0,0.0
67,68,6.97e+18,Laci Bean,821,88900,321,https://www.tiktok.com/@laci_bean/video/6966349683811814661,0.0,1.0,0.0,0,reply skattesnylter going antivaxxer provaxxer exantivaxxer scienceisreal drericb epidemiologistkat,0.0,0.0
68,69,7.02e+18,Julisa,488,175000,90,https://www.tiktok.com/@hairmistress_/video/7021216149836827951,0.0,0.647,0.353,1,wish joke everybody meet sister gave permission post organic antivaxx antivaxxer,0.45454545454545453,0.0
69,70,7.01e+18,ThatNurseIKnow,983,108800,296,https://www.tiktok.com/@thatnurseiknow/video/7006685798418418950,0.0,0.839,0.161,0,good way let tell covid vaccine antivaxxer covid nurse covid pandemic,0.3333333333333333,0.0
70,71,6.9e+18,Alexandra Kopko (She/Her),73,100400,75,https://www.tiktok.com/@alexandrawideeyes/video/6903999398670339334,0.0,1.0,0.0,0,reply gingergracie greenscreen carol gets coffee antivaxxer conservative liberal republican democrat war christmas comedy carol,0.14285714285714285,0.0
71,72,7e+18,Shakespeare’s Illegitimate Son,2593,155700,2732,https://www.tiktok.com/@writing_10/video/6995977655648619782,0.0,0.775,0.225,0,antivaxxer park antivaxxer covid covid masks lockdown vaccine antivaccine trump biggovernment antimask anarchy socialism gop,0.38461538461538464,0.0
72,73,7.01e+18,Nurse Tough Love,464,52000,103,https://www.tiktok.com/@nurse_toughlove/video/7009816283613105413,0.0,1.0,0.0,0,comparison stfu antivaxxer segregation notthesame bloodboiling fypage,0.14285714285714285,0.0
73,74,7e+18,Lorena Jusino,139,62800,58,https://www.tiktok.com/@lorenazoejt/video/6998216709043653893,0.0,1.0,0.0,1,calla lily time today coffeeshop nyc barista antivaxxer antivaxx eat fresh refresh skit,0.0,0.0
74,75,7.03e+18,Jake Oakley,780,120500,145,https://www.tiktok.com/@oakley_3.0/video/7028240504362126638,0.245,0.576,0.18,0,exantivaxxer research facts growth knowledge provaccine antivaxxer,0.14285714285714285,0.0
75,76,7.03e+18,"Dr. Siyab, MD",1343,44200,217,https://www.tiktok.com/@drsiyabmd/video/7027630230152023301,0.0,0.828,0.172,0,parents trusting science medicine know av bs coming covid covidvaccine pfizer kidsvaccinated teamhalo antivaxxer,0.21428571428571427,0.0
76,77,6.7e+18,Loser Lou,65,139400,202,https://www.tiktok.com/@loser_lou2.0/video/6699995314742365445,0.0,0.698,0.302,0,disgusting skin texture natural tho suds foryou antivaxxer nohands chasing happiness,0.18181818181818182,0.0
77,78,6.97e+18,DaRkHoMo,471,68000,336,https://www.tiktok.com/@darkhomo/video/6972613951448157445,0.0,0.818,0.182,0,disabledcomments jokes sheesh fyp fyp fypdong fypsounds fypdoesntwork darkhumour antivaxxer,0.0,0.0
78,79,6.87e+18,"T, MN, ARNP, CCRN-K, AGNP-C",693,51900,125,https://www.tiktok.com/@thatsassynp/video/6869060303699578118,0.0,0.741,0.259,0,reply tbar best antivaxxer comment ive read life blood brain anatomy physiology vaccineswork,0.3076923076923077,0.0
79,80,6.95e+18,"Dr. Siyab, MD",382,49400,245,https://www.tiktok.com/@drsiyabmd/video/6948135757601180934,0.0,1.0,0.0,0,stitch rachaelcody antivaxxers tell story covid coronavirus pandemic antivaxxer learnwithme doctorsoftiktok,0.18181818181818182,0.0
80,81,7.01e+18,Nurse Tough Love,580,42800,172,https://www.tiktok.com/@nurse_toughlove/video/7010171631372897541,0.201,0.584,0.214,0,stitch thetylerbrooks basically free erry day antivaxxer badnurse oppressed tlc fyp,0.18181818181818182,0.0
81,82,7.01e+18,dr.avinash.singh,1200,120700,468,https://www.tiktok.com/@dr.avinash.singh/video/7011926949664804101,0.0,1.0,0.0,1,feelings antivaxxer fyp foryoupage,0.0,0.0
82,83,6.97e+18,Charles Gonzalez,2537,29400,83,https://www.tiktok.com/@cmbtvtgonzalez73/video/6970118888369458438,0.0,1.0,0.0,1,targeted fyp backtheblue antivaxxer conservative constitution gotyoursix,0.14285714285714285,0.0
83,84,7.01e+18,Deconversion Therapy Podcast,1752,72100,412,https://www.tiktok.com/@deconversiontherapy/video/7009739002668453125,0.0,1.0,0.0,1,vaccinatenow pastorexvangelicalreligionantivaxxer,0.0,0.0
84,85,7.02e+18,Nurse Tough Love,345,55500,77,https://www.tiktok.com/@nurse_toughlove/video/7022698934346730757,0.083,0.758,0.159,0,newest hallmark preview covidchristmas yikes antivaxxer n l,0.0,0.0
85,86,7.01e+18,Rachel,1724,31300,459,https://www.tiktok.com/@raekab1989/video/7010545583240826117,0.0,1.0,0.0,0,proud status vaccinted unvaccinated antivaxx antivaxxer vax liberal conservative mandate biden getvaccinated wearamask fyp vaccination spanishflu covid covid deltavariant coviddeath misinformation misinformationkills number deaths,0.2608695652173913,0.043478260869565216
86,87,6.97e+18,Joe,212,57100,32,https://www.tiktok.com/@pepperonijoe/video/6967495423871225094,0.0,1.0,0.0,0,ive chipped government tracking vaccine antivaxxer covid,0.2857142857142857,0.0
87,88,7.02e+18,Jackson Ong,530,70900,133,https://www.tiktok.com/@jacksonongy/video/7022168215988096258,0.559,0.441,0.0,0,wait till truth comes itscaitlinhello nailed fyp foryou antivaxxer getvaccinated covid,0.09090909090909091,0.0
88,89,7.02e+18,Nurse Tough Love,647,55500,17,https://www.tiktok.com/@nurse_toughlove/video/7022005415147867397,0.0,0.813,0.187,0,wtf antivaxxer ntl tlc,0.0,0.0
89,90,7.02e+18,Godless heathen!!,2310,59800,323,https://www.tiktok.com/@antifascist_2.0/video/7020455735771303174,0.286,0.714,0.0,0,duet vintagetawni leftist covid wearamask getvaccinated dumbass antivaxxer antivaxxers stupidantivaxxers,0.0,0.0
90,91,6.96e+18,🔥🔥✨Haus of Petty✨🔥🔥,222,71900,41,https://www.tiktok.com/@musclesandnursing/video/6958931391749016837,0.0,1.0,0.0,0,stitch drsiyabmd antivaxxer wewon toldyaso hausofpetty,0.0,0.0
91,92,7.01e+18,Kevin,113,44800,96,https://www.tiktok.com/@kevpongg/video/7012896860406942977,0.0,1.0,0.0,0,foryou provaxxer antivaxxer,0.0,0.0
92,93,7.01e+18,Maggie,1191,49200,179,https://www.tiktok.com/@mermaidmamamaggie/video/7014225753575329029,0.0,1.0,0.0,0,californiacovid gavinnewsom covidvaccines antivaxxer bye fyp,0.0,0.0
93,94,7e+18,Heather Simpson,331,151700,62,https://www.tiktok.com/@heatherbrookesimpson/video/6998917250107329798,0.0,1.0,0.0,0,questions asked antivaxxer covidvax vaccines provax antivax,0.2857142857142857,0.0
94,95,7e+18,Mama,801,358500,242,https://www.tiktok.com/@thatantivaxmommy/video/6999707481383406853,0.0,1.0,0.0,1,sign form crunchymama antivaxxedbabe antivaxxer,0.2,0.0
95,96,7e+18,BillyBeeB!tch,509,46200,210,https://www.tiktok.com/@billybeebitchisback/video/6995730484265291013,0.0,0.553,0.447,1,thanks claire thanks changing mind wise words knowledge antimask antivaxxer fyp hcw covidvaccine getvaccinated,0.15384615384615385,0.0
96,97,6.98e+18,lilli leupold,661,65400,84,https://www.tiktok.com/@missbadasslils/video/6984961925226482950,0.0,0.838,0.162,1,f country antivaxxer republican,0.25,0.0
97,98,6.98e+18,Caroline Nordenswan,75,75800,61,https://www.tiktok.com/@carolinenordenswa/video/6979481590007172357,0.0,1.0,0.0,0,pfizer cheeck covid corona vaccine pfizer pfizergang fyp antivaxxer anxiety lgbtqi,0.2,0.0
98,99,6.98e+18,Atifah Ruzana Abdul,131,70100,111,https://www.tiktok.com/@eepapoppins/video/6979899521937460506,0.256,0.744,0.0,1,im reviewing moms bluetooth broken microchipimplant antivaxxer firstimpression covidvaccinereview pfizer,0.0,0.0
99,100,7.02e+18,Godless heathen!!,618,38200,161,https://www.tiktok.com/@antifascist_2.0/video/7022810933785316614,0.145,0.855,0.0,0,duet tiktokdemocrats k f c secret menu hacks fukbrandon leftist left antivaxxer wearamask getvaccinated covid,0.0,0.0
100,101,6.96e+18,"Dr. Siyab, MD",1217,43900,250,https://www.tiktok.com/@drsiyabmd/video/6962950361980128518,0.0,1.0,0.0,0,yeah think youre real smart eh antivaxxer covid coronavirus mask pandemic,0.2727272727272727,0.0
101,102,7e+18,Em Dog Millionaire,1136,70300,816,https://www.tiktok.com/@emmatheg0at/video/7000623584204885250,0.0,0.647,0.353,0,sense fyp pfizer antivaxxer aussiesdoingthings aussie brisbane bristok,0.0,0.0
102,103,7.02e+18,Rachel,734,18300,213,https://www.tiktok.com/@raekab1989/video/7016392362108718341,0.078,0.922,0.0,0,years covid surpassed total deaths aids years vaccinated unvaccinated antivaxx antivaxxer vax liberal conservative wearamask getvaccinated fyp covid covid deltavariant deathtoll aids misinformationkills misinformation vaccine vaccinemandate mandate america,0.20833333333333334,0.0
103,104,6.95e+18,Beachgem10,644,63700,286,https://www.tiktok.com/@beachgem10/video/6951866097893215494,0.0,1.0,0.0,1,reply mazone monster covid vaccinehesitancy covid antivaxxer pandemic knowledgeispower doctor educated vaccine fear,0.3333333333333333,0.0
104,105,6.93e+18,Rachel Cain,177,37600,168,https://www.tiktok.com/@iblamebill/video/6930021662830169350,0.211,0.789,0.0,0,naturalisticfallacy antivaccine antivaxxer vaccines skeptic skepticthinker antivaxx covid covid changeminds covidvaccine foryou fyp,0.16666666666666666,0.0
105,106,7e+18,J E S S 🏃🏻‍♀️R U N N E R,180,40000,92,https://www.tiktok.com/@crazymotherrunner/video/7004463851651583238,0.137,0.863,0.0,0,duet thatdaneshguy follow updates antivaxxer newwebsite staytuned faroundandfindout,0.125,0.0
106,107,6.91e+18,Big Muffin,339,56100,504,https://www.tiktok.com/@bigmuffy_/video/6909145125901962501,0.0,1.0,0.0,0,whirlpool vaccinated guys year tik tok bigmuffy fy fyp antivaxxer foryou,0.18181818181818182,0.0
107,108,6.91e+18,Gonzalo 🇵🇪 🏳️‍🌈,140,63100,189,https://www.tiktok.com/@grodriguezrisco/video/6912161729732513030,0.0,1.0,0.0,1,pegar un video de craigsmallwood antivaxxer vaccineswork vacunas piensa vaccines fightcovid lasvacunassalvanvidas,0.16666666666666666,0.0
108,109,7.02e+18,Abe Gurko Won’t Be Silent,947,42900,140,https://www.tiktok.com/@wontbesilent/video/7017837873990831365,0.0,1.0,0.0,0,greenscreen ericclapton antivaxxer fyp wontbesilent foryou tearsinheaven,0.0,0.0
109,110,6.98e+18,"Dr. Rubin, MD",536,29800,218,https://www.tiktok.com/@rubin_allergy/video/6982183313616194821,0.0,1.0,0.0,0,duet sammyyh antivaxxer covidvaccine covid,0.0,0.0
110,111,7.03e+18,ERnurseLady,621,69200,504,https://www.tiktok.com/@lillin20/video/7029416356831317254,0.0,1.0,0.0,1,antivaxx antivaxxer science nursesoftiktok nurselife dobetter getvaccinated ernurse forza horizon g,0.09090909090909091,0.0
111,112,7.02e+18,leify,260,27900,142,https://www.tiktok.com/@skljw/video/7018273796251454726,0.266,0.734,0.0,0,said said nickiminaj barb problematic hasanpiker antivaxxer vaccination shesobviouslyaveryverybeautifulwomen,0.125,0.0
112,113,7.03e+18,It's Ada Again,3283,461100,183,https://www.tiktok.com/@indystructable/video/7030956988242742533,0.0,0.603,0.397,1,covid vaccine mandatory antivaxxer covid,0.5,0.0
113,114,7.02e+18,BillyBeeB!tch,273,58600,379,https://www.tiktok.com/@billybeebitchisback/video/7016058864806268165,0.0,1.0,0.0,0,theres lot truth video unvaccinated antivaxxer antivaxxers getvaccinated covidvaccine fyp family safety fyp viral lol,0.2857142857142857,0.0
